T,AXISBANK,1000,100,20121210,120,20121209103031,1235,0
T,AXISBANK,1000,100,20121210,120,20121209103031,1235,0
P,AXISBANK,1000,100,20121210,120,20121209103031,1238,1235
T,AXISBANK,1000,100,20121210,120,20121209103031,1235,0
P,AXISBANK,1000,100,20121210,120,20121209103031,1238,1235
T,AXISBANK,1000,100,20121210,120,20121209103031,1235,0
P,AXISBANK,1000,100,20121210,120,20121209103031,1238,1235
T,AXISBANK,1000,100,20121210,120,20121209103031,1235,0
P,AXISBANK,1000,100,20121210,120,20121209103031,1238,1235
T,AXISBANK,1000,100,20121210,120,20121209103031,1235,0
P,AXISBANK,1000,100,20121210,120,20121209103031,1238,1235
