T,ICICIBANK,1000,100,20121210,120,20121209103030,1234,0
T,ICICIBANK,1000,100,20121210,120,20121209103030,1234,0
P,ICICIBANK,1100,100,20121210,120,20121209103030,1237,1234
T,ICICIBANK,1000,100,20121210,120,20121209103030,1234,0
P,ICICIBANK,1100,100,20121210,120,20121209103030,1237,1234
P,ICICIBANK,1100,100,20121210,120,20121209103030,1241,1234
T,ICICIBANK,1000,100,20121210,120,20121209103030,1234,0
P,ICICIBANK,1100,100,20121210,120,20121209103030,1237,1234
P,ICICIBANK,1100,100,20121210,120,20121209103030,1241,1234
T,ICICIBANK,1000,100,20121210,120,20121209103030,1234,0
P,ICICIBANK,1100,100,20121210,120,20121209103030,1237,1234
P,ICICIBANK,1100,100,20121210,120,20121209103030,1241,1234
T,ICICIBANK,1000,100,20121210,120,20121209103030,1234,0
P,ICICIBANK,1100,100,20121210,120,20121209103030,1237,1234
P,ICICIBANK,1100,100,20121210,120,20121209103030,1241,1234
